pick_date,appellation_new,load_quantity
2016-08-11,Santa Maria Valley,20
2016-08-12,Los Carneros,21
2016-08-15,Santa Maria Valley,68
2016-08-16,Alexander Valley,7
2016-08-16,Santa Maria Valley,68
2016-08-17,Los Carneros,26.5
2016-08-17,Santa Maria Valley,88
2016-08-18,Alexander Valley,12
2016-08-18,Calistoga,14.4
2016-08-18,Santa Maria Valley,107
2016-08-18,Yountville,10
2016-08-19,Alexander Valley,16
2016-08-19,Calistoga,63.1
2016-08-19,Los Carneros,13.5
2016-08-19,Paso Robles,0
2016-08-19,Rutherford,5.1
2016-08-19,Santa Maria Valley,117
2016-08-19,Sta. Rita Hills,1.5
2016-08-20,Calistoga,40
2016-08-20,Santa Maria Valley,59
2016-08-22,Calistoga,47.1
2016-08-22,Los Carneros,12
2016-08-22,Rutherford,5.1
2016-08-22,Santa Maria Valley,156.3
2016-08-23,Calistoga,69
2016-08-23,Santa Maria Valley,132
2016-08-24,Calistoga,17.75
2016-08-24,Los Carneros,49.5
2016-08-24,Rutherford,5.1
2016-08-24,Santa Maria Valley,155
2016-08-24,Sta. Rita Hills,13.72
2016-08-25,Alexander Valley,9
2016-08-25,Calistoga,43.625
2016-08-25,Rutherford,5.4
2016-08-25,Santa Maria Valley,144
2016-08-25,Sta. Rita Hills,25.07
2016-08-26,Alexander Valley,30
2016-08-26,Los Carneros,21
2016-08-26,Santa Maria Valley,116
2016-08-26,Sta. Rita Hills,13.8
2016-08-29,Alexander Valley,30
2016-08-29,Calistoga,5.25
2016-08-29,Happy Canyon of Santa Barbara,60
2016-08-29,Los Carneros,63
2016-08-29,Oak Knoll District of Napa Valley,20
2016-08-29,Santa Maria Valley,93
2016-08-30,Alexander Valley,11
2016-08-30,Happy Canyon of Santa Barbara,30
2016-08-30,Los Carneros,40
2016-08-30,Oak Knoll District of Napa Valley,43
2016-08-30,Rutherford,8.4
2016-08-30,Santa Maria Valley,108
2016-08-30,Sta. Rita Hills,1.75
2016-08-31,Los Carneros,107
2016-08-31,Oak Knoll District of Napa Valley,25
2016-08-31,Rutherford,25
2016-08-31,Santa Maria Valley,108
2016-08-31,St. Helena,14.35
2016-08-31,Sta. Rita Hills,23.23
2016-09-01,Alexander Valley,20
2016-09-01,Calistoga,12
2016-09-01,Los Carneros,54
2016-09-01,Oak Knoll District of Napa Valley,46
2016-09-01,Rutherford,6.6
2016-09-01,Santa Maria Valley,216
2016-09-02,Los Carneros,35
2016-09-02,Oakville,19
2016-09-02,Rutherford,15
2016-09-02,Santa Maria Valley,60
2016-09-02,St. Helena,1
2016-09-03,Los Carneros,31.5
2016-09-03,Paso Robles,0
2016-09-05,Los Carneros,47
2016-09-05,Santa Maria Valley,92
2016-09-06,Los Carneros,29.5
2016-09-06,Russian River Valley,0
2016-09-06,Santa Maria Valley,108
2016-09-06,St. Helena,13
2016-09-07,Happy Canyon of Santa Barbara,50
2016-09-07,Los Carneros,42.5
2016-09-07,Russian River Valley,0
2016-09-07,Rutherford,41.5
2016-09-07,Santa Maria Valley,48
2016-09-08,Happy Canyon of Santa Barbara,25
2016-09-08,Los Carneros,6.5
2016-09-08,Oak Knoll District of Napa Valley,12
2016-09-08,Paso Robles,8
2016-09-08,Petaluma Gap,0
2016-09-08,Russian River Valley,0
2016-09-08,Santa Maria Valley,49
2016-09-08,Sonoma Valley,0
2016-09-08,Yountville,0
2016-09-09,Calistoga,0
2016-09-09,Happy Canyon of Santa Barbara,28
2016-09-09,Los Carneros,0
2016-09-09,Oak Knoll District of Napa Valley,0
2016-09-09,Paso Robles,20
2016-09-09,St. Helena,0
2016-09-09,Stags Leap District,0
2016-09-09,Yountville,20
2016-09-10,Calistoga,0
2016-09-10,Los Carneros,0
2016-09-10,Oakville,52
2016-09-12,Alexander Valley,0
2016-09-12,Happy Canyon of Santa Barbara,62
2016-09-12,Knights Valley,0
2016-09-12,Mendocino,0
2016-09-12,Santa Maria Valley,0
2016-09-12,Sonoma Valley,0
2016-09-12,St. Helena,0
2016-09-12,Stags Leap District,0
2016-09-13,Alexander Valley,0
2016-09-13,Calistoga,0
2016-09-13,Happy Canyon of Santa Barbara,24
2016-09-13,Los Carneros,0
2016-09-13,Oak Knoll District of Napa Valley,0
2016-09-13,Oakville,0
2016-09-13,Santa Maria Valley,0
2016-09-13,Stags Leap District,0
2016-09-13,Yamhill-Carlton,12
2016-09-13,Yountville,0
2016-09-14,Alexander Valley,0
2016-09-14,Happy Canyon of Santa Barbara,0
2016-09-14,Los Carneros,0
2016-09-14,Oak Knoll District of Napa Valley,0
2016-09-14,Santa Maria Valley,24
2016-09-14,Stags Leap District,0
2016-09-15,Alexander Valley,0
2016-09-15,Happy Canyon of Santa Barbara,0
2016-09-15,Los Carneros,0
2016-09-15,Oak Knoll District of Napa Valley,0
2016-09-15,Santa Maria Valley,0
2016-09-16,Alexander Valley,0
2016-09-16,Big Valley District-Lake County,0
2016-09-16,Happy Canyon of Santa Barbara,0
2016-09-16,Los Carneros,0
2016-09-16,Paso Robles,17
2016-09-16,Santa Maria Valley,0
2016-09-16,Sonoma Valley,0
2016-09-16,St. Helena,0
2016-09-17,Alexander Valley,0
2016-09-17,Los Carneros,0
2016-09-17,Yountville,0
2016-09-19,Alexander Valley,0
2016-09-19,Big Valley District-Lake County,0
2016-09-19,Calistoga,0
2016-09-19,Coombsville,0
2016-09-19,Dry Creek Valley,0
2016-09-19,Happy Canyon of Santa Barbara,0
2016-09-19,Los Carneros,0
2016-09-19,Oak Knoll District of Napa Valley,0
2016-09-19,Oakville,0
2016-09-19,Paso Robles,10
2016-09-19,Petaluma Gap,0
2016-09-19,Rutherford,0
2016-09-19,Sonoma Valley,0
2016-09-20,Alexander Valley,0
2016-09-20,Calistoga,0
2016-09-20,Happy Canyon of Santa Barbara,0
2016-09-20,Los Carneros,0
2016-09-20,Oak Knoll District of Napa Valley,0
2016-09-20,Oakville,0
2016-09-20,Paso Robles,0
2016-09-20,Rutherford,0
2016-09-20,St. Helena,0
2016-09-21,Alexander Valley,0
2016-09-21,Calistoga,0
2016-09-21,Coombsville,0
2016-09-21,Dry Creek Valley,0
2016-09-21,Happy Canyon of Santa Barbara,0
2016-09-21,Los Carneros,0
2016-09-21,Oak Knoll District of Napa Valley,0
2016-09-21,Oakville,0
2016-09-21,St. Helena,0
2016-09-21,Yountville,0
2016-09-22,Alexander Valley,0
2016-09-22,Calistoga,0
2016-09-22,Happy Canyon of Santa Barbara,0
2016-09-22,Howell Mountain,0
2016-09-22,Los Carneros,5
2016-09-22,Oakville,0
2016-09-22,Paso Robles,0
2016-09-22,Rutherford,0
2016-09-22,St. Helena,0
2016-09-22,Stags Leap District,0
2016-09-23,Alexander Valley,0
2016-09-23,Calistoga,0
2016-09-23,Happy Canyon of Santa Barbara,0
2016-09-23,Howell Mountain,0
2016-09-23,Los Carneros,0
2016-09-23,Mt. Veeder,0
2016-09-23,Napa Valley,0
2016-09-23,Oakville,0
2016-09-23,Paso Robles,0
2016-09-23,Rutherford,0
2016-09-23,Santa Maria Valley,0
2016-09-23,St. Helena,0
2016-09-23,Stags Leap District,0
2016-09-24,Alexander Valley,0
2016-09-24,Calistoga,0
2016-09-24,Dry Creek Valley,0
2016-09-24,Knights Valley,0
2016-09-24,Los Carneros,0
2016-09-24,Mt. Veeder,0
