pick_month,appellation_new,load_quantity
8,Alexander Valley,259.6
8,Borden Ranch,376
8,California Shenandoah Valley,1800
8,Calistoga,951.925
8,Clarksburg,1248
8,Clements Hills,96
8,Happy Canyon of Santa Barbara,529.5
8,Jahant,408
8,Los Carneros,695.2
8,Mokelumne River,822
8,Oak Knoll District of Napa Valley,245.4
8,Oakville,35
8,Paso Robles,48
8,Rutherford,179.91
8,San Lucas,388
8,Santa Maria Valley,2778.8
8,St. Helena,14.35
8,Sta. Rita Hills,106.92
8,Yountville,563.65
9,Alexander Valley,1188.3
9,Big Valley District-Lake County,184
9,Borden Ranch,696
9,California Shenandoah Valley,2660
9,Calistoga,1695.55
9,Clarksburg,4884
9,Clements Hills,852
9,Coombsville,44
9,Diamond Mountain District,17
9,Dry Creek Valley,102.5
9,Happy Canyon of Santa Barbara,2542.5
9,High Valley,36
9,Howell Mountain,0
9,Jahant,1359
9,Knights Valley,238.2
9,Lodi,972
9,Los Carneros,7130.19
9,Mendocino,381
9,Mokelumne River,2352
9,Moon Mountain District Sonoma County,20.5
9,Mt. Veeder,8.5
9,Napa Valley,155
9,Oak Knoll District of Napa Valley,1983.05
9,Oakville,1633.45
9,Paicines,4674
9,Paso Robles,3072.5
9,Petaluma Gap,36.5
9,Red Hills Lake County,88
9,Russian River Valley,83.8
9,Rutherford,602.502
9,San Lucas,5453.8
9,San Miguel District,411
9,Santa Lucia Highlands,579
9,Santa Maria Valley,6937.12
9,Sloughhouse,1126
9,Sonoma Valley,255
9,Spring Mountain District,0
9,St. Helena,530.025
9,Sta. Rita Hills,192.929
9,Stags Leap District,301.5
9,Yamhill-Carlton,32
9,Yountville,202.3
10,Alexander Valley,725.8
10,Alta Mesa,972
10,Atlas Peak,27
10,Big Valley District-Lake County,220
10,California Shenandoah Valley,72
10,Calistoga,1774.8
10,Clarksburg,689
10,Clements Hills,1453
10,Coombsville,340
10,Diamond Mountain District,499.545
10,Dry Creek Valley,53
10,Happy Canyon of Santa Barbara,1761.4
10,High Valley,80
10,Howell Mountain,873.5
10,Knights Valley,3945.05
10,Lodi,504
10,Los Carneros,2427.835
10,Mendocino,41
10,Mokelumne River,3453
10,Moon Mountain District Sonoma County,164
10,Mt. Veeder,64.9
10,Napa Valley,578.05
10,Oak Knoll District of Napa Valley,789.5
10,Oakville,1744.345
10,Paicines,2678
10,Paso Robles,7593
10,Petaluma Gap,6
10,Red Hills Lake County,127
10,Rutherford,2624.187
10,San Lucas,6522
10,San Miguel District,416
10,Santa Lucia Highlands,624
10,Santa Maria Valley,789
10,Sloughhouse,264
10,Sonoma Valley,296.48
10,Spring Mountain District,115.02
10,St. Helena,1396.45
10,Stags Leap District,335
10,Yountville,506.55
11,Alexander Valley,5
11,Alta Mesa,360
11,Atlas Peak,14
11,Howell Mountain,44
11,Knights Valley,582
11,Los Carneros,3.4
11,Mokelumne River,454
11,Napa Valley,92
11,Oakville,16
11,Paso Robles,821
11,Rutherford,25.2
11,San Lucas,2368
11,Spring Mountain District,6
11,St. Helena,209
