pick_year,appellation_new,load_quantity
2016,Alexander Valley,135
2016,Atlas Peak,0
2016,Big Valley District-Lake County,0
2016,Calistoga,312.225
2016,Coombsville,0
2016,Diamond Mountain District,0
2016,Dry Creek Valley,0
2016,Happy Canyon of Santa Barbara,279
2016,Howell Mountain,0
2016,Knights Valley,0
2016,Los Carneros,604.5
2016,Mendocino,0
2016,Moon Mountain District Sonoma County,0
2016,Mt. Veeder,0
2016,Napa Valley,0
2016,Oak Knoll District of Napa Valley,146
2016,Oakville,71
2016,Paso Robles,55
2016,Petaluma Gap,0
2016,Russian River Valley,0
2016,Rutherford,132.2
2016,San Miguel District,0
2016,Santa Maria Valley,2136.3
2016,Sonoma Valley,0
2016,Spring Mountain District,0
2016,St. Helena,28.35
2016,Sta. Rita Hills,79.07000000000001
2016,Stags Leap District,0
2016,Yamhill-Carlton,12
2016,Yountville,30
2017,Alexander Valley,584.1
2017,Alta Mesa,540
2017,Big Valley District-Lake County,184
2017,Borden Ranch,168
2017,California Shenandoah Valley,432
2017,Calistoga,1394.85
2017,Clarksburg,1979
2017,Clements Hills,708
2017,Coombsville,157
2017,Diamond Mountain District,245.17
2017,Dry Creek Valley,53
2017,Happy Canyon of Santa Barbara,1048.5
2017,High Valley,60
2017,Howell Mountain,480.2
2017,Jahant,516
2017,Knights Valley,1651.4
2017,Lodi,564
2017,Los Carneros,2531.91
2017,Mendocino,108
2017,Mokelumne River,2411
2017,Moon Mountain District Sonoma County,43.5
2017,Mt. Veeder,25.7
2017,Napa Valley,295
2017,Oak Knoll District of Napa Valley,738.4
2017,Oakville,1103.65
2017,Paicines,2708
2017,Paso Robles,4043
2017,Petaluma Gap,14
2017,Red Hills Lake County,88
2017,Russian River Valley,25.5
2017,Rutherford,1250.632
2017,San Lucas,4959
2017,San Miguel District,388
2017,Santa Maria Valley,1928
2017,Sloughhouse,456
2017,Sonoma Valley,178.77
2017,Spring Mountain District,49.22
2017,St. Helena,836.75
2017,Sta. Rita Hills,41.55
2017,Stags Leap District,221.5
2017,Yamhill-Carlton,12
2017,Yountville,367.4
2018,Alexander Valley,818.7
2018,Alta Mesa,792
2018,Atlas Peak,41
2018,Borden Ranch,376
2018,California Shenandoah Valley,656
2018,Calistoga,1687.4
2018,Clarksburg,2202
2018,Clements Hills,1093
2018,Coombsville,183
2018,Diamond Mountain District,253.375
2018,Dry Creek Valley,68.5
2018,Happy Canyon of Santa Barbara,2120.5
2018,Howell Mountain,437.3
2018,Jahant,456
2018,Knights Valley,2763.7
2018,Lodi,600
2018,Los Carneros,3585.945
2018,Mendocino,152
2018,Mokelumne River,3200
2018,Moon Mountain District Sonoma County,107.5
2018,Mt. Veeder,40.7
2018,Napa Valley,451
2018,Oak Knoll District of Napa Valley,1141
2018,Oakville,1258.045
2018,Paicines,2990
2018,Paso Robles,5482.5
2018,Petaluma Gap,15.6
2018,Russian River Valley,24.5
2018,Rutherford,1638.46
2018,San Lucas,6799
2018,San Miguel District,272
2018,Santa Maria Valley,3601.5
2018,Sloughhouse,552
2018,Sonoma Valley,249.10999999999999
2018,Spring Mountain District,71.8
2018,St. Helena,1019.725
2018,Sta. Rita Hills,59.284
2018,Stags Leap District,272
2018,Yamhill-Carlton,2
2018,Yountville,572.25
2019,Alexander Valley,640.9
2019,Atlas Peak,0
2019,Big Valley District-Lake County,220
2019,Borden Ranch,528
2019,California Shenandoah Valley,3444
2019,Calistoga,1027.8
2019,Clarksburg,2640
2019,Clements Hills,600
2019,Coombsville,44
2019,Diamond Mountain District,18
2019,Dry Creek Valley,34
2019,Happy Canyon of Santa Barbara,1385.4
2019,High Valley,56
2019,Jahant,795
2019,Knights Valley,350.15
2019,Lodi,312
2019,Los Carneros,3534.27
2019,Mendocino,162
2019,Mokelumne River,1470
2019,Moon Mountain District Sonoma County,33.5
2019,Mt. Veeder,7
2019,Napa Valley,79.05
2019,Oak Knoll District of Napa Valley,992.55
2019,Oakville,996.1
2019,Paicines,1654
2019,Paso Robles,1954
2019,Petaluma Gap,12.9
2019,Red Hills Lake County,127
2019,Russian River Valley,33.8
2019,Rutherford,410.507
2019,San Lucas,2973.8
2019,San Miguel District,167
2019,Santa Lucia Highlands,1203
2019,Santa Maria Valley,2839.12
2019,Sloughhouse,382
2019,Sonoma Valley,123.6
2019,St. Helena,265
2019,Sta. Rita Hills,119.945
2019,Stags Leap District,143
2019,Yamhill-Carlton,6
2019,Yountville,302.85
