imdb_id,director,original_title,genre,overview
tt0099612,Roger Corman,Frankenstein Unbound,Drama,"The ultimate weapon, claimed to be safe for mankind, produces global side-effects including time slides and disappearances. The scientist behind the project and his car are zapped from the year 2031 to 1817 in Switzerland where he meets Dr. Victor Frankenstein, Mary Shelley and others."
tt0067658,Roger Corman,Von Richthofen and Brown,War,"Spend time on both sides of World War I, partly with German flying ace Baron Manfred Von Richthofen (John Phillip Law), aka ""The Red Baron,"" and his colorful ""flying circus"" of Fokker fighter planes, during the time from his arrival at the war front to his death in combat. On the other side is Roy Brown of the Royal Air Force, sometimes credited with shooting Richthofen down."
tt0065760,Roger Corman,Gas-s-s-s!,Comedy,A gas is let loose upon the world that kills anyone over 25 years old.
tt0065481,Roger Corman,Bloody Mama,Action,"Sexually abused as a young girl, Kate ""Ma"" Barker grows into a violently powerful woman by the 1930s. She lovingly dominates her grown sons, and grooms them into a pack of tough crooks. The boys include the cruel Herman, who still shares a bed with Ma; Fred, an ex-con who fell in love with a fellow prisoner; and Lloyd, who gets high on whatever's handy. Together they form a deadly, bizarre family of Depression-era bandits."
tt0065069,Roger Corman,Target: Harry,Mystery,"Pilot Harry Black is hired to fly a man named Carlyle to Istanbul, where he's murdered. Now, mysterious Diane Reed and a local gangster, Rashi, are after Harry believing that he has the priceless plates Carlyle used to counterfeit money."
tt0062395,Roger Corman,The Trip,Drama,"After his wife leaves him, a disillusioned director dives into the drug scene, trying anything his friend suggests."
tt0062301,Roger Corman,The St. Valentine's Day Massacre,Drama,"Chicago February 14th 1929. Al Capone finally establishes himself as the city's boss of organised crime. In a north-side garage his hoods, dressed as policemen, surprise and mow down with machine-guns the key members of Bugs Moran's rival gang. The film traces the history of the incident, and the lives affected and in some cases ended by it."
tt0061189,Roger Corman,The Wild Angels,Action,"Peter Fonda plays 'Heavenly Blues', the leader of Hell's Angels chapter from Venice, California while Bruce Dern plays 'Loser', his best pal. When they both botch their attempt to retrieve Loser's stolen bike, Loser ends up in the hospital. Nancy Sinatra plays Mike, Blues' ""old lady"" and Diane Ladd plays Loser's wife (Dern's real-life wife at the time)."
tt0059821,Roger Corman,The Tomb of Ligeia,Horror,"Verden Fell is shattered after the death of his lovely wife. But, after an unexpected encounter with Lady Rowena Trevanion, Fell soon finds himself married again. Nevertheless, his late wife's spirit seems to hang over the dilapidated abbey that Fell shares with his new bride. Lady Rowena senses that something is amiss and, when she investigates, makes a horrifying discovery -- learning that Fell's dead wife is closer than she ever imagined possible."
tt0058561,Roger Corman,The Secret Invasion,Action,"During World War II, convicts are recruited by the Allies for an extremely hazardous mission."
tt0058333,Roger Corman,The Masque of the Red Death,Drama,"Satan-worshiper Prince Prospero invites the local nobility to his castle for protection against an oncoming plague, the Red Death. He orders his guests to attend a masked ball and, amidst an atmosphere of debauchery and depravity, notices the entry of a hooded stranger dressed all in red. Believing the figure to be his master, Satan, Prospero is horrified at the revelation of his true identity."
tt0057693,Roger Corman,X: The Man with the X-Ray Eyes,Horror,"The story concerns Dr James Xavier, ably portrayed by Ray Milland. He has invented a serum for improving human vision. When his funding is cut he proceeds to experiment on himself -- with horrifying results."
tt0057128,Roger Corman,The Haunted Palace,Horror,A warlock burned at the stake comes back and takes over the body of his great grandson to take his revenge on the descendents of the villages that burned him.
tt0057569,Roger Corman,The Terror,Horror,A young officer in Napoleon's Army pursues a mysterious woman to the castle of an elderly Baron.
tt0057449,Roger Corman,The Raven,Comedy,A magician who has been turned into a raven turns to a former sorcerer for help in this film loosely based on the Edgar Allen Poe poem.
tt0057706,Roger Corman,The Young Racers,Action,A film constructed around footage shot of actual Grand Prix races in Europe.
