dispnum,incidnum,year,month,day,mid21location,midlocmeasuringpoint,lat,lng,precision,onset
2,2001,1902,7,-9,Alaska-Canadian border,"Juneau, Alaska",58.50917,-134.6889,4,1
3,3001,1913,5,2,Austria's border with Serbia,"Belgrade, Yug",44.81194,20.46556,4,1
4,4001,1946,5,15,Corfu Channel,"Kerkira, GRC",39.62,19.91972,4,1
7,7001,1951,10,13,Suez canal zone,"Suez canal, UAR",29.91667,32.55,4,1
8,8001,1856,7,-9,Iran,"Tehran, IRN",35.67194,51.42445,5,1
9,9001,1889,12,29,Waters off Mozambique,Maputo,-25.96528,32.58917,4,1
11,11001,1938,3,11,Austrian Border,Vienna,48.2,16.36667,4,1
12,12001,1938,3,11,.,ger-cze border,50.5,13,4,1
13,13001,1863,4,6,.,S. japanese waters,32.13,129.78,5,1
14,14001,1895,10,15,Constantinople,"Istanbul, TUR",41.01861,28.96472,1,1
15,15001,1839,1,-9,Maine-New Brunswick Border,"Fredericton, CAN",45.95,-66.63333,3,1
16,16001,1897,12,25,.,straits between jap and kor,35.33,130.38,5,1
19,19001,1848,1,15,.,md point of venetian-auh border,46.83,11.97,4,1
20,20001,1945,11,18,Northern Iran,"Ardebil, Iran",38.24944,48.30139,3,1
21,21001,1912,11,21,.,md point of serb-auh border,45.89,19,4,1
22,22001,1940,6,9,Latvia,"Riga, Latvia",56.95,24.1,5,1
23,23001,1939,3,-9,Soviet/Estonian border,"Merimae, Estonia",57.69556,27.46083,4,1
25,25001,1831,8,2,.,md point of NTH-BEL border,51.42,5.279,4,1
26,26001,1948,3,21,.,berlin,52.52,13.38,1,1
27,27001,1961,7,25,.,berlin,52.52,13.38,1,1
28,28001,1961,7,19,"Bizerte,Tunisia","Bizerte, Tunisia",37.27444,9.873889,1,1
30,30001,1908,10,6,Bosnia,Sarajevo,43.85,18.38333,5,1
31,31001,1900,5,30,.,md point of manchurian empire,37.33,105.7,5,1
38,38001,1837,12,29,Niagara River,navy island,43.05,-79.01667,4,1
