lat,lng,set
51.528011,-2.432376,OSM
51.122843,-3.026682,OSM
51.977056,-4.426289,OSM
51.455763,-2.619343,OSM
53.219337,-2.493883,OSM
51.396418,0.014593,OSM
50.803558,0.303076,OSM
51.824544,-3.021143,OSM
50.768636,0.116451,OSM
51.804384,-0.186058,OSM
50.768657,0.128861,OSM
51.935631,-0.210404,OSM
50.886592,0.284821,OSM
51.103359,-3.234850,OSM
50.903353,0.275736,OSM
51.532917,-3.693636,OSM
50.888913,0.246006,OSM
53.067575,-3.030682,OSM
50.871127,0.238510,OSM
51.927438,-3.879775,OSM
50.881370,0.241286,OSM
51.205126,-2.996080,OSM
50.882169,0.214624,OSM
50.843503,-0.158460,OSM
50.795323,0.159894,OSM
51.021428,-2.815588,OSM
50.802894,0.162936,OSM
53.392158,-2.345484,OSM
50.821021,0.259917,OSM
51.325545,-0.099860,OSM
50.874459,0.253813,OSM
59.129542,-3.138657,OSM
50.877368,0.260166,OSM
51.787750,-0.227932,OSM
50.874824,0.261140,OSM
53.426425,-2.720833,OSM
51.208305,-0.166142,OSM
51.548140,-2.580522,OSM
50.877851,0.254885,OSM
52.065142,-0.323608,OSM
50.878520,0.246956,OSM
51.719662,-3.850208,OSM
50.854678,0.254681,OSM
51.847493,-4.396959,OSM
50.866029,0.254118,OSM
53.390038,-2.928983,OSM
53.096584,-4.246250,OSM
51.484727,-3.200672,OSM
50.870761,0.259209,OSM
51.067956,-3.035338,OSM
50.858627,0.262063,OSM
51.486557,-3.196065,OSM
50.865605,0.249462,OSM
57.712038,-5.680917,OSM
50.898263,0.298498,OSM
50.969750,-3.249722,OSM
50.891184,0.183919,OSM
51.430836,-2.604913,OSM
50.853656,0.252707,OSM
50.856365,-0.151953,OSM
50.880172,0.222409,OSM
58.190487,-6.936569,OSM
50.860795,0.271984,OSM
53.204939,-3.028853,OSM
50.859568,0.252738,OSM
51.111870,0.034233,OSM
50.855700,0.247093,OSM
50.884242,0.344301,OSM
50.772749,0.100488,OSM
51.526555,-3.094282,OSM
50.771561,0.102912,OSM
51.398149,-0.100730,OSM
50.775432,0.152153,OSM
52.144814,-0.065489,OSM
50.780531,0.127397,OSM
51.798372,-4.133979,OSM
50.771386,0.129561,OSM
50.862470,0.260331,OSM
50.889488,0.324878,OSM
59.023573,-3.096342,OSM
50.906622,0.346474,OSM
53.391743,-2.327283,OSM
50.831062,-0.173407,OSM
51.051455,-0.002910,OSM
50.828567,-0.183503,OSM
59.292679,-2.924874,OSM
50.826310,-0.185755,OSM
53.125918,-4.110153,OSM
50.829737,-0.184108,OSM
50.806755,0.253113,OSM
50.832230,-0.201302,OSM
51.488729,-3.224752,OSM
50.833264,-0.186810,OSM
50.976824,-2.874537,OSM
50.840769,-0.165255,OSM
